FII;CATEGORIA;SEGMENTO;GESTORA;DY ESPERADO
BDIV11;Papel;Crédito Privado;BTG;0.5333
JMBI11;Papel;Crédito Privado;JGP;1.08
VGIA11;FIAGRO;Agro;Valora;0.13
VGIR11;Papel;Recebíveis Imobiliários;Valora;0.12
SNAG11;FIAGRO;Agro;Suno;0.12
VHFA11;FOF;Fundos de Fundos;Vinci;0.13
